org,team,userid,username,role
auth0,Advanced Services Engineering,103114115,A0-JT,member
auth0,Advanced Services Engineering,62605138,auth0-nthomas,member
auth0,Advanced Services Engineering,80297517,auth0-apopelane,member
auth0,Architect,13517582,tsoukup77,member
auth0,Architect,146273812,yissellokta,member
auth0,Architect,188151,dereklindner,member
auth0,Architect,225529,panga,member
auth0,Architect,2717578,btiernay,member
auth0,Architect,4305001,dennishenry,member
auth0,Architect,642405,markvoelker,member
auth0,Architect,655409,sandrinodimattia,member
auth0,Auth0 Customer First - TS DTAM,11151871,LiveSlowSkateFast,member
auth0,Auth0 Customer First - TS DTAM,129339621,jingyifan-okta,member
auth0,Auth0 Customer First - TS DTAM,1377205,zamd,member
auth0,Auth0 Customer First - TS DTAM,2303846,vprasanth,member
auth0,Auth0 Customer First - TS DTAM,2645678,mostekcm,member
auth0,Auth0 Customer First - TS DTAM,2818462,mikemimik,member
auth0,Auth0 Customer First - TS DTAM,4483107,orodabaugh,member
auth0,Auth0 Customer First - TS DTAM,90192076,SeanMcCamphill,member
auth0,Auth0 Customer First - TS DTAM,9042881,shaikathaque,member
auth0,Auth0 Customer First - TS KES,11151871,LiveSlowSkateFast,member
auth0,Auth0 Customer First - TS KES,1377205,zamd,member
auth0,Auth0 Customer First - TS KES,2303846,vprasanth,member
auth0,Auth0 Customer First - TS KES,2508576,rosnovsky,member
auth0,Auth0 Customer First - TS KES,2645678,mostekcm,member
auth0,Auth0 Customer First - TS KES,2818462,mikemimik,member
auth0,Auth0 Customer First - TS KES,34482303,PeterGFernandez,member
auth0,Auth0 Customer First - TS KES,4483107,orodabaugh,member
auth0,Auth0 Customer First - TS KES,73120,NotMyself,member
auth0,Auth0 Customer First - TS KES,87336696,bright-auth0,member
auth0,Auth0 Customer First - TS Tooling,13350271,nlucero,member
auth0,Auth0 Customer First - TS Tooling,1377205,zamd,member
auth0,Auth0 Customer First - TS Tooling,2303846,vprasanth,member
auth0,Auth0 Customer First - TS Tooling,2323292,trosborn,member
auth0,Auth0 Customer First - TS Tooling,2508576,rosnovsky,member
auth0,Auth0 Customer First - TS Tooling,2818462,mikemimik,member
auth0,Auth0 Customer First - TS Tooling,6425818,heidiaclayton,member
auth0,Auth0 Customer First - TS Tooling,75584808,Luya0,member
auth0,Auth0 Customer First - TS Tooling,9042881,shaikathaque,member
auth0,Auth0 Customer First - Technical Solutions,11151871,LiveSlowSkateFast,member
auth0,Auth0 Customer First - Technical Solutions,13350271,nlucero,member
auth0,Auth0 Customer First - Technical Solutions,136543,pbadams,member
auth0,Auth0 Customer First - Technical Solutions,1377205,zamd,member
auth0,Auth0 Customer First - Technical Solutions,22507821,BalaGanaparthi,member
auth0,Auth0 Customer First - Technical Solutions,2303846,vprasanth,member
auth0,Auth0 Customer First - Technical Solutions,2645678,mostekcm,member
auth0,Auth0 Customer First - Technical Solutions,2818462,mikemimik,member
auth0,Auth0 Customer First - Technical Solutions,34482303,PeterGFernandez,member
auth0,Auth0 Customer First - Technical Solutions,4483107,orodabaugh,member
auth0,Auth0 Customer First - Technical Solutions,6075483,stevezau,member
auth0,Auth0 Customer First - Technical Solutions,6425818,heidiaclayton,member
auth0,Auth0 Customer First - Technical Solutions,73120,NotMyself,member
auth0,Auth0 Customer First - Technical Solutions,80781513,surbhisahdev2,member
auth0,Auth0 Customer First - Technical Solutions,83967902,invisiblellama,member
auth0,Auth0 Customer First - Technical Solutions,855223,joshcanhelp,member
auth0,Auth0 Customer First - Technical Solutions,9042881,shaikathaque,member
auth0,Auth0 Customer First - Technical Solutions,93272833,kateharney,member
auth0,Auth0 Customer First - Technical Solutions,97525443,romanAuth0,member
auth0,Auth0 Lab Engineer,178506,siacomuzzi,member
auth0,Auth0 Lab Engineer,178512,jfromaniello,member
auth0,Auth0 Lab Engineer,302314,jcenturion,member
auth0,Auth0 Lab Engineer,3376731,dschenkelman,member
auth0,BT,68875025,anilokta,member
auth0,CF Digital Experience,2323292,trosborn,member
auth0,CF Digital Experience,2508576,rosnovsky,member
auth0,CS Technical Field Solutions,11151871,LiveSlowSkateFast,member
auth0,CS Technical Field Solutions,1377205,zamd,member
auth0,CS Technical Field Solutions,2645678,mostekcm,member
auth0,CS Technical Field Solutions,2818462,mikemimik,member
auth0,CS Technical Field Solutions,34482303,PeterGFernandez,member
auth0,CS Technical Field Solutions,4483107,orodabaugh,member
auth0,CS Technical Field Solutions,59672334,jeff-auth0,member
auth0,CS Technical Field Solutions,6075483,stevezau,member
auth0,CS Technical Field Solutions,6425818,heidiaclayton,member
auth0,CS Technical Field Solutions,9042881,shaikathaque,member
auth0,Cloud Cost Analyst,63677609,ericma0,member
auth0,Cloud Security Ops Engineer,114577944,n-villalobos,member
auth0,Cloud Security Ops Engineer,125279218,TarasHrynchuk,member
auth0,Cloud Security Ops Engineer,153869286,jenmulford,member
auth0,Cloud Security Ops Engineer,15730032,DanHatesNumbers,member
auth0,Cloud Security Ops Engineer,1613352,stacybird,member
auth0,Cloud Security Ops Engineer,25580725,niltorrespages,member
auth0,Cloud Security Ops Engineer,25975598,cleorun,member
auth0,Cloud Security Ops Engineer,28898657,steperchuk,member
auth0,Cloud Security Ops Engineer,3496219,beckitrue,member
auth0,Cloud Security Ops Engineer,35350234,zjarge,member
auth0,Cloud Security Ops Engineer,5327718,daper,member
auth0,Cloud Security Ops Engineer,62109211,LCCosmin,member
auth0,Cloud Security Ops Engineer,6361099,cailynse,member
auth0,Cloud Security Ops Engineer,85645968,haiauth,member
auth0,Community Manager,11062800,konradsopala,member
auth0,Community Manager,49003466,danwoda,member
auth0,Compliance Member,127769806,KyleRogers09,member
auth0,Content Engineer,117612,AccordionGuy,member
auth0,Content Engineer,25705235,andychiare,member
auth0,Content Engineer,37590801,dan-auth0,member
auth0,Core-infra Engineer,1679977,mpilar,member
auth0,Core-infra Engineer,3588613,schultzor,member
auth0,Core-infra Engineer,367850,rene00,member
auth0,Core-infra Engineer,380394,ccbean,member
auth0,Core-infra Engineer,6432517,rdaniels6813,member
auth0,Core-infra Engineer,662049,choopooly,member
auth0,D&R Security Engineer,101368381,mattoconnor-okta,member
auth0,D&R Security Engineer,104216483,alessandroromani-okta,member
auth0,D&R Security Engineer,113024552,kinjolnath-okta,member
auth0,D&R Security Engineer,119629950,philvanderlinden-okta,member
auth0,D&R Security Engineer,120599190,angelamadden-okta,member
auth0,D&R Security Engineer,135728210,rafokto,member
auth0,D&R Security Engineer,146784413,joyceelauria-okta,member
auth0,D&R Security Engineer,156914102,ana-alarca0,member
auth0,D&R Security Engineer,79596304,seanford-okta,member
auth0,D&R Security Engineer,80268029,sergiogarcia-okta,member
auth0,DX Customer Dev Tools Admin,28300158,sergiught,member
auth0,DX Customer Dev Tools Admin,3093,evansims,member
auth0,DX Customer Dev Tools Admin,4614315,willvedd,member
auth0,DX Customer Dev Tools Admin,928115,cocojoe,member
auth0,DX Customer Dev Tools Engineer,1299658,adamjmcgrath,member
auth0,DX Customer Dev Tools Engineer,28300158,sergiught,member
auth0,DX Customer Dev Tools Engineer,3093,evansims,member
auth0,DX Customer Dev Tools Engineer,4614315,willvedd,member
auth0,DX Customer Dev Tools Engineer,5055789,Widcket,member
auth0,DX Customer Dev Tools Engineer,766403,stevehobbsdev,member
